+1 1:1 2:1.5325224785350655 3:40.496913462633174 4:1 5:1.5300459649689815 6:38.2099463490856 7:1 8:1.5704560287200298 9:34.36568055487916 10:1 11:1.535529934652804 12:34.058772731852805 13:1 14:1.570426930489409 15:32.55764119219941 16:1 17:0.0020991393181963042 18:32.38826948140329 19:1 20:1.5706959016439153 21:32.2490309931942 22:1 23:1.476502847637646 24:31.25699921617557 25:1 26:1.5447083202117116 27:31.11269837220809 28:1 29:1.570578787007752 30:30.4138126514911 31:1 32:1.5627956839843606 33:28.600699292150182 34:1 35:8.831653206105282E-4 36:28.178005607210743 37:1 38:1.5707074047997764 39:28.0178514522438 40:1 41:0.0022843300579522808 42:27.0 43:1 44:1.569109925510726 45:26.019223662515376 46:1 47:1.5707168173729038 48:26.0 49:1 50:1.5688943944144003 51:25.612496949731394 52:1 53:1.5679628342523402 54:24.0 55:1 56:1.5701220938382041 57:23.53720459187964 58:1 59:0.0016568599552030437 60:23.53720459187964 
+1 1:1 2:1.5427297518951453 3:45.803929962395145 4:1 5:1.5430247889060653 6:43.01162633521314 7:1 8:1.5448380919375317 9:40.45985664828782 10:1 11:1.5294316836948507 12:38.01315561749642 13:1 14:1.5703152037266466 15:36.05551275463989 16:1 17:1.5698972316595121 18:35.0 19:1 20:1.5703377742179738 21:34.438350715445125 22:1 23:1.5399368803369493 24:33.24154027718932 25:1 26:1.5703981271572212 27:33.06055050963308 28:1 29:1.5697902597704783 30:32.802438933713454 31:1 32:1.57026916452597 33:31.016124838541646 34:1 35:1.5361142146962556 36:31.016124838541646 37:1 38:1.5673020206621684 39:29.732137494637012 40:1 41:1.5691565175220024 42:26.476404589747453 43:2 44:1.5033169975674696 45:24.839484696748443 46:2 47:1.541684410982215 48:24.351591323771842 49:2 50:1.4967195136741522 51:24.08318915758459 52:2 53:1.566837836323382 54:24.08318915758459 55:1 56:1.5257997176289453 57:24.020824298928627 58:1 59:1.5686800638686114 60:23.600847442411894 
+1 1:2 2:1.5695246479057963 3:36.069377593742864 4:1 5:8.567396429807337E-4 6:33.24154027718932 7:1 8:0.001239863156784961 9:31.016124838541646 10:1 11:1.5501719485442553 12:27.586228448267445 13:1 14:1.5651818300470022 15:26.40075756488817 16:1 17:1.542411568461569 18:26.0 19:1 20:1.5642118294324303 21:25.059928172283335 22:1 23:1.5700808058338125 24:24.186773244895647 25:1 26:1.5447605895301524 27:23.853720883753127 28:1 29:1.5636202089066136 30:23.600847442411894 31:1 32:1.5060771312748302 33:23.345235059857504 34:1 35:1.5695656584621345 36:23.194827009486403 37:2 38:1.4380312388348713 39:23.021728866442675 40:1 41:1.5698246792833945 42:22.360679774997898 43:1 44:6.005848103695828E-4 45:22.360679774997898 46:1 47:0.001245006738371973 48:22.02271554554524 49:1 50:1.5531078646002539 51:21.95449840010015 52:1 53:0.009696858236865275 54:21.633307652783937 55:1 56:1.5318284020885289 57:21.540659228538015 58:1 59:0.004887395711752924 60:21.213203435596427 
+1 1:2 2:1.4251166316020034 3:47.4236228055175 4:2 5:0.0 6:42.44997055358225 7:1 8:0.011745689371992673 9:37.0 10:1 11:0.016232377725845924 12:33.24154027718932 13:2 14:1.5306367276402029 15:32.802438933713454 16:1 17:1.5678317051209287 18:32.449961479175904 19:1 20:1.5478660482213582 21:30.59411708155671 22:1 23:0.0081530374993577 24:30.0 25:1 26:1.5680930968548887 27:29.120439557122072 28:1 29:1.5349464269626476 30:28.635642126552707 31:1 32:1.546727475390994 33:28.442925306655784 34:1 35:0.0660318403627853 36:27.730849247724095 37:1 38:1.5248008394579462 39:27.459060435491963 40:1 41:1.5184257175828597 42:27.073972741361768 43:1 44:1.5699873047211095 45:26.627053911388696 46:1 47:1.5250087470841573 48:25.495097567963924 49:1 50:1.5550788472145687 51:25.0 52:1 53:1.5396630979647834 54:24.413111231467404 55:1 56:0.014404716349395835 57:23.0 58:1 59:1.5569679484161123 60:22.80350850198276 
+1 1:2 2:0.0 3:33.97057550292606 4:2 5:1.5697371385721717 6:26.1725046566048 7:1 8:1.570586087250385 9:24.041630560342615 10:1 11:1.5704378967254315 12:23.021728866442675 13:1 14:1.475195268268148 15:22.80350850198276 16:1 17:1.5698257770472916 18:22.20360331117452 19:2 20:1.4849850487077272 21:21.633307652783937 22:1 23:1.5686364075176549 24:21.02379604162864 25:1 26:1.5706757017069193 27:20.615528128088304 28:1 29:0.0143007975295435 30:19.924858845171276 31:1 32:1.4307653607395558 33:19.72308292331602 34:1 35:1.5702114306873811 36:19.6468827043885 37:1 38:1.5706332680983535 39:19.313207915827967 40:1 41:1.569967055677734 42:19.235384061671343 43:1 44:1.5379378606970302 45:18.601075237738275 46:1 47:1.5001451254573466 48:18.439088914585774 49:1 50:0.004182249072686068 51:18.384776310850235 52:2 53:0.006562542048899662 54:18.384776310850235 55:1 56:1.5676868187522206 57:18.110770276274835 58:1 59:1.5689393671421092 60:18.027756377319946 
+1 1:2 2:0.0 3:59.20304046246274 4:2 5:1.5239956143402864 6:40.24922359499622 7:1 8:1.4356962875261914 9:39.05124837953327 10:1 11:1.4521962789833602 12:37.8549864614954 13:1 14:1.4337032778552317 15:31.400636936215164 16:1 17:1.5393685371396428 18:30.066592756745816 19:1 20:1.555418138392732 21:28.178005607210743 22:1 23:1.5247953453499536 24:27.892651361962706 25:2 26:1.5278898041589997 27:27.018512172212592 28:1 29:9.672752861043722E-4 30:26.476404589747453 31:2 32:1.567410423183639 33:26.40075756488817 34:2 35:1.5688332182615108 36:26.019223662515376 37:1 38:1.5695954941431531 39:25.0 40:1 41:0.6987264594502292 42:24.351591323771842 43:1 44:1.5698070282082863 45:24.08318915758459 46:1 47:1.5641720425640582 48:23.769728648009426 49:1 50:1.555406816623129 51:23.259406699226016 52:1 53:9.082058959193728E-4 54:22.847319317591726 55:1 56:1.5347397836625014 57:22.561028345356956 58:1 59:1.564325009584909 60:22.360679774997898 
+1 1:2 2:0.0 3:41.86884283091664 4:2 5:0.0 6:40.80441152620633 7:1 8:1.5259419964537386 9:39.20459156782532 10:1 11:1.2766039619534855 12:36.359317925395686 13:1 14:1.5693503233407018 15:32.802438933713454 16:1 17:1.5265878814203035 18:31.38470965295043 19:1 20:1.570723632595242 21:31.064449134018133 22:1 23:1.5691563373064785 24:31.016124838541646 25:1 26:1.5686306608898468 27:30.610455730027933 28:1 29:1.5707658388808095 30:29.410882339705484 31:1 32:1.5707544322999476 33:28.30194339616981 34:1 35:1.4735171589936455 36:27.65863337187866 37:1 38:1.5474414181556277 39:27.294688127912362 40:1 41:1.5707623420778922 42:27.202941017470888 43:1 44:1.570749955582327 45:26.076809620810597 46:1 47:1.5707649979923841 48:25.553864678361276 49:2 50:0.009623284811767796 51:25.0 52:1 53:1.567983402294707 54:24.698178070456937 55:1 56:1.5702156070960345 57:23.706539182259394 58:1 59:1.569150788943802 60:23.53720459187964 
+1 1:1 2:1.4283855703726915 3:36.069377593742864 4:1 5:1.5087350540727391 6:27.730849247724095 7:1 8:1.5681522007373978 9:26.40075756488817 10:1 11:1.5560760827837938 12:25.238858928247925 13:1 14:1.5663539204852148 15:24.413111231467404 16:2 17:1.5609689254882357 18:24.020824298928627 19:1 20:1.5667793044266425 21:23.853720883753127 22:1 23:1.5703518442062376 24:23.430749027719962 25:1 26:1.5431162966807408 27:23.345235059857504 28:1 29:0.005901264717024671 30:23.323807579381203 31:1 32:0.13897235167290642 33:23.021728866442675 34:2 35:1.5699963502922731 36:23.0 37:1 38:0.019476085338639287 39:22.847319317591726 40:1 41:1.5176555413204134 42:22.561028345356956 43:1 44:1.5493171219595463 45:22.360679774997898 46:1 47:0.0015430481300026271 48:22.360679774997898 49:2 50:0.0023187160462714994 51:22.090722034374522 52:1 53:1.564666906295037 54:22.090722034374522 55:1 56:1.5677793444004846 57:21.633307652783937 58:1 59:1.5702740772017485 60:21.587033144922902 
+1 1:2 2:0.0 3:56.462376853972415 4:2 5:0.0 6:40.70626487409524 7:1 8:1.5701251222871688 9:38.0 10:1 11:1.570715733022823 12:34.539832078341085 13:1 14:1.570760039804456 15:32.89376840679705 16:1 17:1.570744819349692 18:32.38826948140329 19:1 20:1.5704928315308186 21:32.01562118716424 22:1 23:1.5707482999129379 24:29.832867780352597 25:1 26:1.4997141857336034 27:27.294688127912362 28:1 29:1.5707504066825757 30:26.40075756488817 31:1 32:1.546118883670565 33:26.076809620810597 34:1 35:1.566959023035137 36:25.495097567963924 37:1 38:1.5405119492743835 39:24.758836806279895 40:1 41:1.5707435366265288 42:24.166091947189145 43:1 44:1.5477019638824068 45:22.80350850198276 46:1 47:1.569615783305272 48:22.561028345356956 49:1 50:1.5695996434761772 51:22.02271554554524 52:1 53:1.5679421792689776 54:21.37755832643195 55:1 56:1.539524057921129 57:21.213203435596427 58:1 59:1.570001023801234 60:20.8806130178211 
+1 1:2 2:0.0 3:52.49761899362675 4:2 5:0.0 6:47.70744176750625 7:2 8:1.5682763773208999 9:40.52159917870962 10:1 11:1.4981744298985853 12:38.27531841800928 13:1 14:1.570661032740531 15:35.34119409414458 16:1 17:1.5707203864607782 18:34.713109915419565 19:1 20:1.5707429868784886 21:33.61547262794322 22:1 23:1.5692840795468672 24:32.64965543462902 25:1 26:1.5694665114167188 27:32.2490309931942 28:1 29:1.501322525912537 30:32.202484376209235 31:1 32:1.5707556669665121 33:31.78049716414141 34:1 35:1.4363532020778176 36:29.966648127543394 37:1 38:1.5707635530252342 39:29.068883707497267 40:1 41:1.5703315548077554 42:27.313000567495326 43:1 44:1.5707878148973453 45:27.202941017470888 46:1 47:1.5707511491048682 48:27.018512172212592 49:1 50:1.5703964178757668 51:25.96150997149434 52:1 53:6.622219441355594E-4 54:25.80697580112788 55:1 56:1.5216579944874742 57:25.45584412271571 58:1 59:1.5705792594816512 60:25.079872407968907 
+1 1:2 2:0.0 3:44.01136216933077 4:1 5:1.5469147582810518 6:37.013511046643494 7:2 8:1.5689192171644915 9:35.510561809129406 10:1 11:1.5468443828033345 12:33.734255586866 13:1 14:1.5078807901666307 15:33.61547262794322 16:1 17:1.547844288272183 18:32.69556544854363 19:1 20:1.5304029232255794 21:31.400636936215164 22:1 23:1.5418468469973534 24:31.064449134018133 25:1 26:1.5531029828204073 27:28.178005607210743 28:1 29:1.5401599851619818 30:28.071337695236398 31:1 32:8.85697057449426E-4 33:27.294688127912362 34:1 35:0.0066084538693776985 36:26.92582403567252 37:1 38:1.4435137850289437 39:25.298221281347036 40:1 41:1.4786164804631057 42:25.179356624028344 43:1 44:0.002481299690961017 45:24.758836806279895 46:1 47:8.188227419749671E-4 48:24.73863375370596 49:1 50:1.5666039344838452 51:24.73863375370596 52:1 53:1.5705836805228488 54:24.413111231467404 55:1 56:1.5408352835351113 57:24.20743687382041 58:1 59:1.5683701928212754 60:24.041630560342615 
+1 1:2 2:0.3009549699298046 3:42.01190307520001 4:1 5:1.5408510836430893 6:36.138621999185304 7:1 8:1.2509019819600546 9:35.90264614203248 10:1 11:0.14565748523147368 12:35.12833614050059 13:1 14:1.5119808306561149 15:34.0 16:2 17:0.0 18:32.7566787083184 19:1 20:1.5270304757955213 21:32.01562118716424 22:1 23:1.5698293373324348 24:30.805843601498726 25:1 26:1.5074679708909766 27:30.083217912982647 28:1 29:1.5705405711019613 30:29.120439557122072 31:1 32:1.5346919957703602 33:29.120439557122072 34:2 35:0.0 36:29.0 37:1 38:1.5616580039073837 39:28.071337695236398 40:1 41:1.5697738295362602 42:28.0 43:1 44:0.16411617839164416 45:27.073972741361768 46:1 47:1.5698366542321431 48:26.019223662515376 49:2 50:1.5696171798323504 51:25.317977802344327 52:1 53:0.12924003589214408 54:25.179356624028344 55:1 56:1.5696816641422486 57:25.179356624028344 58:1 59:1.5461852426586749 60:24.839484696748443 
+1 1:2 2:1.4788654236808014 3:44.01136216933077 4:2 5:1.5395560745000256 6:44.01136216933077 7:2 8:0.0 9:39.59797974644666 10:2 11:1.522829447003876 12:32.0624390837628 13:1 14:1.547833468006595 15:29.274562336608895 16:1 17:1.5604531812885987 18:25.059928172283335 19:1 20:1.5681936267095609 21:24.73863375370596 22:1 23:1.5672648621608565 24:24.73863375370596 25:1 26:1.5704834704537263 27:24.698178070456937 28:1 29:1.569572847404963 30:24.596747752497688 31:1 32:1.5688938546744855 33:24.351591323771842 34:1 35:1.5681816873060626 36:24.186773244895647 37:1 38:1.5597725905788042 39:24.041630560342615 40:1 41:1.5510863920967164 42:23.53720459187964 43:1 44:1.568101252490173 45:23.345235059857504 46:1 47:0.0036582698597605696 48:23.345235059857504 49:1 50:0.047590710834972745 51:23.259406699226016 52:1 53:1.5375040997713607 54:22.561028345356956 55:1 56:1.5670198518535456 57:22.561028345356956 58:1 59:1.3835924755579512 60:22.47220505424423 
+1 1:1 2:1.5385489183695968 3:68.24954212300622 4:1 5:1.5396555108266619 6:67.1863081289633 7:1 8:1.5313144583687552 9:67.06713054842886 10:1 11:1.5290252371938526 12:66.40030120413611 13:1 14:1.5495851067516224 15:59.464274989274024 16:1 17:1.5331208911255403 18:58.83026432033091 19:1 20:1.5412811617128357 21:55.17245689653489 22:1 23:0.5530984652428819 24:53.48831648126533 25:1 26:1.5250187117116358 27:52.009614495783374 28:1 29:0.09036933299746909 30:51.86520991955976 31:1 32:1.4483305820672927 33:50.60632371551998 34:1 35:1.519157001092032 36:47.80167361086848 37:1 38:1.536455812302176 39:46.861498055439924 40:1 41:1.5527069307789152 42:43.41658669218482 43:1 44:1.547881057127969 45:39.824615503479755 46:1 47:1.4731188195064324 48:39.0 49:1 50:1.5432581453389533 51:38.8329756778952 52:1 53:1.5475338182872416 54:37.73592452822641 55:1 56:1.540832925767264 57:35.35533905932738 58:1 59:1.5514713285040278 60:35.34119409414458 
+1 1:1 2:1.5382593998900516 3:61.07372593840988 4:1 5:1.5432435642055733 6:56.60388679233962 7:1 8:1.5310390852835332 9:55.97320787662612 10:1 11:0.7073135313312244 12:50.93132631298737 13:1 14:1.5369537314138122 15:49.20365840057018 16:1 17:1.5407542736447812 18:47.38143096192854 19:1 20:1.548552213552767 21:42.638011210655684 22:1 23:1.5313272688333797 24:42.44997055358225 25:1 26:1.5433065819830527 27:41.400483088968905 28:1 29:1.542315476190187 30:36.40054944640259 31:1 32:1.512922425143622 33:35.22782990761707 34:1 35:1.5074359297585986 36:33.60059523282288 37:2 38:0.0 39:31.400636936215164 40:1 41:1.5374598406237263 42:31.38470965295043 43:1 44:1.5281275989187266 45:30.4138126514911 46:1 47:1.5701081622680497 48:30.265491900843113 49:1 50:1.5177494493862396 51:29.732137494637012 52:1 53:1.5320572539401913 54:29.427877939124322 55:1 56:1.5342004393446866 57:29.154759474226502 58:1 59:1.5373834559765762 60:29.017236257093817 
+1 1:1 2:1.5153543488768197 3:45.254833995939045 4:1 5:1.5294087573056458 6:41.036569057366385 7:1 8:1.4478365445082386 9:40.607881008493905 10:1 11:1.5288697902793196 12:40.0 13:1 14:1.5074346394282012 15:37.013511046643494 16:1 17:1.5282796032501842 18:36.235341863986875 19:1 20:1.5325086187543089 21:36.235341863986875 22:1 23:1.4626911555170428 24:36.124783736376884 25:1 26:1.4788299176450415 27:35.805027579936315 28:1 29:1.5350922977092838 30:34.17601498127012 31:1 32:1.5298049317544153 33:32.2490309931942 34:1 35:0.45148012325393294 36:31.89043743820395 37:1 38:0.03761484387259528 39:31.11269837220809 40:1 41:1.5406877244439812 42:29.427877939124322 43:1 44:0.04841968696555848 45:29.410882339705484 46:1 47:1.5697919991310383 48:29.410882339705484 49:1 50:1.5334156499083693 51:29.120439557122072 52:1 53:0.038555505194856565 54:29.0 55:1 56:1.5407922728304129 57:28.0178514522438 58:1 59:1.5700118960342073 60:27.65863337187866 
+1 1:1 2:1.5426532562418975 3:47.095647357266465 4:1 5:1.5449777769336765 6:44.64302857109943 7:1 8:1.537488747332971 9:41.10960958218893 10:1 11:1.5222687846997187 12:40.01249804748511 13:1 14:1.5424772458963194 15:37.107950630558946 16:1 17:1.5707611282159877 18:36.0 19:2 20:0.0 21:35.608987629529715 22:1 23:1.5707519880527883 24:34.0147027033899 25:1 26:1.5707725834465758 27:32.64965543462902 28:2 29:0.06534977789884018 30:32.55764119219941 31:1 32:1.5705621475557048 33:32.202484376209235 34:1 35:1.5446054015274169 36:30.083217912982647 37:1 38:1.5706601105268234 39:30.066592756745816 40:1 41:1.5103683847675062 42:30.066592756745816 43:2 44:1.5650280997365402 45:29.154759474226502 46:1 47:1.5707004480795674 48:28.160255680657446 49:1 50:1.5503162017217291 51:26.248809496813376 52:2 53:0.0 54:26.076809620810597 55:2 56:1.5380179803303313 57:24.698178070456937 58:1 59:1.565136214726315 60:24.20743687382041 
+1 1:2 2:1.5459131524494762 3:26.40075756488817 4:2 5:1.4831876429894275 6:26.40075756488817 7:2 8:1.5701099252592439 9:26.019223662515376 10:2 11:1.5683543750767788 12:26.019223662515376 13:1 14:1.566580498990665 15:25.179356624028344 16:1 17:1.5678466650593557 18:24.698178070456937 19:1 20:1.5678116852758137 21:24.596747752497688 22:1 23:1.5667878401360267 24:24.020824298928627 25:1 26:1.5538089299308633 27:23.345235059857504 28:1 29:0.055784319251513545 30:22.80350850198276 31:1 32:1.5694264122787922 33:21.93171219946131 34:1 35:1.5705234178130916 36:21.587033144922902 37:1 38:1.56896860343727 39:21.587033144922902 40:1 41:1.5672178868289843 42:21.095023109728988 43:1 44:1.5519276187437616 45:21.02379604162864 46:1 47:1.4975931156087865 48:20.615528128088304 49:1 50:1.5564546664900567 51:20.396078054371138 52:1 53:1.5701551022622329 54:20.248456731316587 55:1 56:1.5699520556106996 57:20.223748416156685 58:1 59:0.055958437708783684 60:20.0 
+1 1:1 2:1.5153543488768197 3:45.254833995939045 4:1 5:1.5294087573056458 6:41.036569057366385 7:1 8:1.4478365445082386 9:40.607881008493905 10:1 11:1.5288697902793196 12:40.0 13:1 14:1.5074346394282012 15:37.013511046643494 16:1 17:1.5282796032501842 18:36.235341863986875 19:1 20:1.5325086187543089 21:36.235341863986875 22:1 23:1.4626911555170428 24:36.124783736376884 25:1 26:1.4788299176450415 27:35.805027579936315 28:1 29:1.5350922977092838 30:34.17601498127012 31:1 32:1.5298049317544153 33:32.2490309931942 34:1 35:0.45148012325393294 36:31.89043743820395 37:1 38:0.03761484387259528 39:31.11269837220809 40:1 41:1.5406877244439812 42:29.427877939124322 43:1 44:0.04841968696555848 45:29.410882339705484 46:1 47:1.5697919991310383 48:29.410882339705484 49:1 50:1.5334156499083693 51:29.120439557122072 52:1 53:0.038555505194856565 54:29.0 55:1 56:1.5407922728304129 57:28.0178514522438 58:1 59:1.5700118960342073 60:27.65863337187866 
+1 1:2 2:0.0 3:31.622776601683793 4:2 5:0.0 6:30.675723300355934 7:2 8:1.5689298522109096 9:27.85677655436824 10:1 11:1.569302804727584 12:23.53720459187964 13:1 14:1.5702769841300823 15:23.345235059857504 16:1 17:1.5693723016594865 18:22.847319317591726 19:1 20:1.5666115966881509 21:22.561028345356956 22:1 23:1.566929350359264 24:22.360679774997898 25:1 26:1.5669900865167181 27:21.93171219946131 28:1 29:1.57025291129398 30:21.587033144922902 31:1 32:1.5677423800368042 33:21.095023109728988 34:1 35:0.125758047498862 36:21.02379604162864 37:1 38:1.5659979676036813 39:20.396078054371138 40:2 41:1.5682570560446538 42:20.248456731316587 43:1 44:1.5699146098640164 45:20.248456731316587 46:1 47:1.5689869248680564 48:20.248456731316587 49:1 50:1.5691475583759567 51:20.024984394500787 52:2 53:1.5693632316537918 54:19.72308292331602 55:1 56:0.09930066321061103 57:19.4164878389476 58:2 59:1.559197558219192 60:19.209372712298546 
