+1 1:2 2:1.328165897794285 3:43.46262762420146 4:2 5:0.0 6:38.3275357934736 7:1 8:1.4696861420497884 9:34.438350715445125 10:1 11:1.5707225603825952 12:33.24154027718932 13:1 14:0.0042343988112534345 15:33.015148038438355 16:1 17:1.5694412041799586 18:33.015148038438355 19:1 20:0.024292942911081822 21:32.7566787083184 22:1 23:0.0034289659623682753 24:31.240998703626616 25:1 26:1.5706619139422355 27:31.11269837220809 28:1 29:1.5694078618053027 30:31.064449134018133 31:1 32:0.00456177068595305 33:30.083217912982647 34:1 35:0.0032040845926253527 36:29.732137494637012 37:1 38:1.5679131861260374 39:29.120439557122072 40:1 41:1.5689809203599148 42:29.068883707497267 43:1 44:1.5693248520716014 45:28.284271247461902 46:1 47:0.008997314109928508 48:28.178005607210743 49:1 50:0.0050925567621585045 51:28.160255680657446 52:1 53:1.568252691056272 54:27.65863337187866 55:1 56:0.00717909703244686 57:27.202941017470888 58:1 59:1.5426269886613306 60:27.202941017470888 
+1 1:1 2:1.544770548266033 3:53.23532661682466 4:1 5:1.5579059367169283 6:45.79301256742124 7:1 8:1.447664975594587 9:43.68065933568311 10:1 11:1.5648189904611551 12:42.80186911806539 13:1 14:1.4909714853604845 15:42.720018726587654 16:1 17:1.5305495257253514 18:42.20189569201838 19:1 20:0.004285283788821063 21:41.340053217188775 22:1 23:1.5093508377380276 24:40.792156108742276 25:1 26:1.479454687635227 27:39.96248240537617 28:1 29:1.5695436802996081 30:39.84971769034255 31:1 32:1.5303788893778234 33:39.44616584663204 34:1 35:1.5227620563347382 36:39.408120990476064 37:1 38:1.5281878612481967 39:39.01281840626232 40:1 41:0.006562560801334884 42:39.0 43:1 44:0.0010580050053878626 45:37.48332962798263 46:1 47:1.5131013502301518 48:36.87817782917155 49:1 50:0.001256729049504951 51:36.71511950137164 52:1 53:0.003685918332966728 54:36.22154055254967 55:1 56:0.0060737540078772394 57:35.73513677041127 58:1 59:0.002971520094911387 60:35.12833614050059 
+1 1:1 2:1.514371692898788 3:50.92150822589606 4:1 5:1.5268497995509518 6:44.0 7:1 8:1.5303424346965941 9:42.720018726587654 10:2 11:1.5457748919082328 12:42.190046219457976 13:1 14:1.5113012242299715 15:40.607881008493905 16:1 17:1.5368112168381225 18:39.45883931389772 19:1 20:0.001900716279432959 21:37.656340767525464 22:1 23:0.09638362549733856 24:36.235341863986875 25:1 26:1.5111758683428151 27:36.124783736376884 28:1 29:1.5536274215579748 30:35.17101079013795 31:1 32:0.41055498346555286 33:34.785054261852174 34:1 35:0.9833144313874446 36:34.48187929913333 37:1 38:1.532047977369618 39:33.0 40:1 41:1.5358720862149262 42:32.28002478313795 43:1 44:1.5707782757156579 45:32.202484376209235 46:1 47:1.405180136159296 48:31.575306807693888 49:1 50:0.0029684976899005703 51:31.38470965295043 52:1 53:1.5707235528763333 54:31.064449134018133 55:2 56:0.005608907778098067 57:31.016124838541646 58:1 59:1.5522671829758936 60:30.886890422961002 
+1 1:1 2:1.511443485653344 3:43.08131845707603 4:1 5:0.003146406226491802 6:42.20189569201838 7:1 8:0.632549856633619 9:39.96248240537617 10:1 11:0.0022965621691230314 12:39.92492955535426 13:1 14:1.4930281728497514 15:38.8329756778952 16:1 17:0.005209236794371017 18:37.656340767525464 19:1 20:0.0015876053415011355 21:37.48332962798263 22:1 23:0.0016371416580147492 24:37.16180835212409 25:1 26:0.003673911434553071 27:36.68787265568828 28:1 29:1.5248793927893094 30:36.359317925395686 31:1 32:0.0034540718792068622 33:35.12833614050059 34:1 35:1.4603121720179533 36:35.05709628591621 37:1 38:1.1813132883890916 39:34.539832078341085 40:1 41:1.5045435481600737 42:33.06055050963308 43:2 44:1.56702265804205 45:32.802438933713454 46:1 47:0.0018968714337237445 48:32.28002478313795 49:1 50:0.05412134895355424 51:31.622776601683793 52:2 53:0.034860555539914025 54:31.38470965295043 55:2 56:1.5160662817944803 57:31.38470965295043 58:1 59:1.5347977747908836 60:31.32091952673165 
+1 1:2 2:0.04070653018621601 3:51.40038910358559 4:1 5:0.31511458393587927 6:50.695167422546305 7:1 8:1.5400783652493917 9:43.657759905886145 10:1 11:1.5692709527232127 12:42.05948168962618 13:1 14:1.5208397153883488 15:40.44749683231337 16:1 17:1.5052607068009578 18:40.311288741492746 19:1 20:1.535237058593262 21:39.20459156782532 22:1 23:1.46364869210144 24:38.600518131237564 25:1 26:0.0022921922720523197 27:38.3275357934736 28:1 29:1.528693800983858 30:37.656340767525464 31:1 32:1.5491905966972923 33:37.21558813185679 34:1 35:1.5287367390581126 36:37.0 37:2 38:1.5222183701374643 39:36.0 40:2 41:1.570198909050293 42:35.805027579936315 43:1 44:1.5662582909647975 45:35.4682957019364 46:1 47:1.511473233060565 48:35.4682957019364 49:1 50:0.21051315329708312 51:35.22782990761707 52:1 53:1.5268799328923421 54:34.92849839314596 55:1 56:1.3293090742075075 57:34.52535300326414 58:1 59:0.0034749002566498224 60:34.36568055487916 
+1 1:2 2:0.0 3:46.17358552246078 4:1 5:1.5137880609368377 6:44.9221548904324 7:2 8:0.03401188081593632 9:42.04759208325728 10:2 11:0.0 12:41.78516483155236 13:1 14:0.0044918351864398475 15:40.496913462633174 16:2 17:0.03461223512617458 18:39.824615503479755 19:1 20:0.00241774614343874 21:37.8021163428716 22:1 23:1.5304035155761662 24:37.33630940518894 25:1 26:1.5326735746024645 27:37.05401462729781 28:1 29:0.0033578525718218444 30:36.89173349139343 31:1 32:1.4928554357492647 33:34.92849839314596 34:1 35:1.5352729825981846 36:34.713109915419565 37:1 38:1.5161828127082186 39:34.0 40:1 41:1.1624769331604197 42:33.734255586866 43:1 44:0.021761461870823375 45:33.1058907144937 46:1 47:0.0015471662521531187 48:32.64965543462902 49:2 50:1.5300445447679512 51:31.76476034853718 52:1 53:0.010414189400691663 54:31.064449134018133 55:1 56:6.248822374416008E-4 57:30.528675044947494 58:1 59:0.20255206638514578 60:29.966648127543394 
+1 1:2 2:0.2533075345213207 3:48.38388161361178 4:2 5:0.0 6:44.94441010848846 7:1 8:1.569474411724863 9:37.48332962798263 10:1 11:1.5334043607000287 12:36.61966684720111 13:1 14:1.569738189580466 15:36.345563690772494 16:1 17:1.5700211720746686 18:35.6931365951495 19:1 20:0.0021452321799183783 21:34.828149534535996 22:1 23:1.5676142673864175 24:34.48187929913333 25:1 26:0.007636237556751692 27:34.20526275297414 28:1 29:1.5646733917108164 30:33.61547262794322 31:1 32:1.5679475370300642 33:33.015148038438355 34:1 35:1.5191137193993363 36:32.64965543462902 37:1 38:1.5217832119328687 39:32.38826948140329 40:1 41:1.5004710751365309 42:32.202484376209235 43:1 44:1.566922293588762 45:32.01562118716424 46:1 47:1.5316967069023193 48:31.76476034853718 49:2 50:1.4881635175650936 51:31.38470965295043 52:1 53:0.047477697021230426 54:31.25699921617557 55:1 56:0.0010060483556153005 57:31.016124838541646 58:1 59:1.5655552210090553 60:30.59411708155671 
+1 1:2 2:0.0 3:46.69047011971501 4:1 5:1.3900147749409557 6:39.11521443121589 7:1 8:1.507096427182355 9:36.05551275463989 10:2 11:0.0 12:35.77708763999664 13:1 14:1.379150820037885 15:34.9857113690718 16:1 17:1.4924159844503455 18:34.40930106817051 19:1 20:1.5339690669846007 21:31.400636936215164 22:1 23:1.4995065535791579 24:29.5296461204668 25:1 26:1.5051059917339669 27:29.206163733020468 28:1 29:1.5163651910730638 30:29.0 31:1 32:1.5038075493167118 33:28.442925306655784 34:1 35:1.5222805766814658 36:28.442925306655784 37:1 38:0.00474971119563763 39:27.892651361962706 40:2 41:1.3903520595642804 42:27.294688127912362 43:2 44:0.04364556729956977 45:27.294688127912362 46:1 47:0.05602214074452104 48:27.16615541441225 49:1 50:1.5381434284946776 51:26.248809496813376 52:1 53:1.4482838159666718 54:24.698178070456937 55:1 56:0.0021806615280480614 57:24.413111231467404 58:1 59:1.5247173143327388 60:24.08318915758459 
+1 1:2 2:0.1306513031342727 3:57.0701322935211 4:1 5:1.52673257634855 6:46.32493928760188 7:2 8:0.0 9:41.340053217188775 10:1 11:0.05246318817351665 12:40.792156108742276 13:1 14:1.5024944721060445 15:38.07886552931954 16:1 17:0.009624167730666298 18:37.36308338453881 19:1 20:0.004887183963516373 21:37.12142238654117 22:1 23:0.004779108586850199 24:36.68787265568828 25:2 26:1.5222387745510408 27:36.05551275463989 28:1 29:1.5078300479756297 30:35.6931365951495 31:1 32:0.008156675110474219 33:35.17101079013795 34:1 35:1.5209442056081295 36:35.0 37:1 38:1.523633985636872 39:31.064449134018133 40:1 41:1.5381585496811112 42:30.610455730027933 43:1 44:1.4829099482599057 45:30.083217912982647 46:1 47:0.004368055143058736 48:29.732137494637012 49:1 50:1.5268945659008424 51:29.614185789921695 52:2 53:1.5189187530756805 54:28.635642126552707 55:2 56:0.028850879323775187 57:28.635642126552707 58:1 59:0.0018469776408773432 60:28.160255680657446 
+1 1:2 2:0.0 3:47.80167361086848 4:2 5:1.507893703830678 6:43.382023926967726 7:1 8:0.0015862499380662493 9:39.6232255123179 10:1 11:0.0031886439652096662 12:36.49657518178932 13:1 14:1.4774588176268155 15:34.52535300326414 16:1 17:1.543665140798481 18:34.438350715445125 19:1 20:0.0022601139152241263 21:34.058772731852805 22:1 23:0.006592761645906224 24:32.55764119219941 25:1 26:1.5206834805747196 27:32.28002478313795 28:1 29:0.003358204140512641 30:32.14031735997639 31:2 32:1.5679514792244909 33:32.0 34:2 35:1.562342255643901 36:32.0 37:1 38:1.4640055293610668 39:31.78049716414141 40:1 41:1.4651539081811658 42:31.064449134018133 43:1 44:0.002760386023569458 45:31.016124838541646 46:1 47:0.004577749553433735 48:30.083217912982647 49:1 50:1.488615658930573 51:30.083217912982647 52:1 53:1.5214349471464286 54:30.01666203960727 55:2 56:1.543326191350835 57:29.546573405388315 58:2 59:0.39965739562425395 60:29.546573405388315 
